KU_KOD;KU_NAZEV;CELKOVY_POCET_PARCEL;CELKOVA_VYMERA;Orn· p˘da(2)-v˝mÏra;Chmelnice(3)-v˝mÏra;Vinice(4)-v˝mÏra;Zahrada(5)-v˝mÏra;Ovocn˝ sad(6)-v˝mÏra;Trval˝ travnÌ porost(7)-v˝mÏra;LesnÌ pozemek(10)-v˝mÏra;VodnÌ plocha(11)-v˝mÏra;ZastavÏn· plocha a n·dvo¯Ì(13)-v˝mÏra;OstatnÌ plocha(14)-v˝mÏra;DOMY_S_CP;STAVBY_S_CE;LV
602523;»·buze;771;2377018;769833;0;0;33928;0;592519;602516;30820;22933;324469;49;1;125
602531;Beneöovice;1451;10233833;3574477;0;0;72498;0;312588;5554776;41326;56822;621346;33;8;96
602540;Lom u St¯Ìbra;1149;6933816;3541677;0;0;60259;0;220335;2735500;27488;48841;299716;31;31;138
602566;Benetice;1220;3245829;1807942;0;0;28158;0;579651;553736;20373;34631;221338;54;0;114
602574;VÏstoÚovice;421;1664020;838903;0;0;16575;0;245178;444313;3984;14439;100628;14;0;36
602582;Benice;1492;2773794;2140951;0;0;100439;27411;131114;68614;69613;72268;163384;236;1;426
602591;Benkovice;1785;4333743;2332392;0;0;87347;0;698764;1001619;17481;56568;139572;89;52;301
602604;BeÚov;975;6802163;5348026;0;0;222016;14248;111018;582348;32071;121425;371011;217;1;519
602612;Prusy;379;1839708;1351711;175059;0;81451;0;35793;33600;19985;23722;118387;29;6;72
602621;Beranov;455;3876023;1886628;0;0;28255;0;872656;889522;59475;29470;110017;23;1;43
602639;Kladruby u Beranova;501;6664767;2229483;0;0;20911;0;1854452;2177811;37868;34979;309263;22;5;43
602647;Bernardov;826;3454690;1369965;0;0;62078;30136;23822;1705555;8697;64286;190151;85;1;204
602655;Bernartice u DolnÌch Kralovic;2191;4477377;2306652;0;0;78030;12514;373188;629582;488890;75656;512865;99;10;208
602663;Bernartice u Milevska;1854;6606905;4099473;0;0;270258;0;741162;520282;298915;186470;490345;347;4;646
602671;Bilinka;349;3140253;1813929;0;0;31385;226663;392111;508634;21135;30583;115813;23;0;122
602680;Bojenice;437;3649291;2341726;0;0;64483;0;485033;552383;18855;41375;145436;43;0;142
602698;ZbÏöice;1275;7004604;1847888;0;0;45320;29683;437444;4376261;52519;35254;180235;38;4;119
602701;Bernartice u Str·ûe;615;6296786;2275313;0;0;86284;6889;579174;3076822;28262;37324;206718;43;8;96
